키워드,메모
다날_전자결제 - 카카오,톡클라우드 2TB 구독
정기과금_카카오,온디스크 구독
Patreon* Membership,세이브에디터 구독
모바일티머니후불형,교통카드
ktIOT자동이체,아반떼 마이현대 구독
픽미픽미아이스,픽미픽미아이스크림
맥도날드_KCP,맥도날드_KCP
돈뗄,돈까스
스마일카드,현대카드결제대금
하나체크환급,하나체크환급
SMS수수료,SMS수수료
얼음과자24미평점,얼음과자24미평점
우리카드결제대금,우리카드결제대금
미평햄버거본점,미평햄버거본점
하나-하나주택청약,하나-하나주택청약
긴자료코여수미평,긴자료코여수미평
전남대학교소비자,편의점
코레일유통(주)(,편의점
급여,급여
정민원숙소관리비,정민원숙소관리비
세븐일레븐동탄역,세븐일레븐동탄역
릴리스에이아이,릴리스에이아이
네이버페이 - 교보문고,sam 무제한 구독
지에스25,편의점
GS25,편의점
세븐일레븐,편의점
이마트24,편의점
씨유(CU),편의점
위고비,위고비 구매
맥도날드,맥도날드
데지카,스팀게임
롯데리아,롯데리아
지자체세,세금납부
에스알,여수 출퇴근 기차표 승차권
철도승차권,여수 출퇴근 기차표 승차권
택시,여수 출퇴근 택시 이용
카카오모빌리티,여수 출퇴근 택시 이용
명진블루주유소,아반떼 주유비
저녁노을주유소,클럽맨 주유비
마음본,마음본 정신과 병원 진료
와우멤버십,쿠팡 와우 멤버십 구독
휴먼메디,양압기 대여료
kt유선상품,인터넷 요금
휴먼메디,양압기 대여료
KB손보정제익,kb손해보험 실비 보상금
